id_zona_Origen,id_zona_Dest,Rate
1,76,45
1,77,36
1,78,45
1,79,48
1,80,46
1,81,44
1,82,26
1,83,24
1,84,28
1,85,48
1,86,46
1,87,44
1,88,42
1,89,41
1,90,45
1,91,48
1,92,46
1,93,44
1,94,17
1,95,20
1,96,45
1,97,48
1,98,46
1,99,44
1,100,25
1,101,45
1,102,50
1,103,45
1,104,40
1,105,60
1,106,80
1,107,90
1,108,50
1,109,70
1,110,71
2,1,12
2,2,10
2,3,15
2,4,45
2,5,42
2,6,40
2,7,41
2,8,42
2,9,45
2,10,46
2,11,48
2,12,50
2,13,60
2,14,60
2,15,50
2,16,54
2,17,38
2,18,51
2,19,50
2,20,60
2,21,42
2,22,38
2,23,40
2,24,45
2,25,50
2,26,50
2,27,38
2,28,35
2,29,50
2,30,51
2,31,28
2,32,51
2,33,60
2,34,62
2,35,63
2,36,60
2,37,58
2,38,55
2,39,45
2,40,50
2,41,45
2,42,42
2,43,44
2,44,40
2,45,42
2,46,48
2,47,50
2,48,51
2,49,52
2,50,45
2,51,42
2,52,46
2,53,48
2,54,35
2,55,60
2,56,68
2,57,60
2,58,50
2,59,54
2,60,52
2,61,53
2,62,50
2,63,45
2,64,58
2,65,52
2,66,50
2,67,50
2,68,45
2,69,48
2,70,46
2,71,44
2,72,42
2,73,41
2,74,40
2,75,40
2,76,45
2,77,36
2,78,45
2,79,48
2,80,46
2,81,44
2,82,26
2,83,24
2,84,28
2,85,48
2,86,46
2,87,44
2,88,42
2,89,41
2,90,45
2,91,48
2,92,46
2,93,44
2,94,17
2,95,20
2,96,45
2,97,48
2,98,46
2,99,44
2,100,25
2,101,45
2,102,50
2,103,45
2,104,40
2,105,60
2,106,80
2,107,90
2,108,50
2,109,70
2,110,71
3,1,15
3,2,10
3,3,12
3,4,35
3,5,42
3,6,40
3,7,41
3,8,42
3,9,45
3,10,46
3,11,48
3,12,50
3,13,60
3,14,60
3,15,50
3,16,54
3,17,38
3,18,51
3,19,50
3,20,60
3,21,42
3,22,38
3,23,40
3,24,45
3,25,50
3,26,50
3,27,38
3,28,35
3,29,50
3,30,51
3,31,28
3,32,51
3,33,60
3,34,62
3,35,63
3,36,60
3,37,58
3,38,55
3,39,45
3,40,50
3,41,45
3,42,42
3,43,44
3,44,40
3,45,42
3,46,48
3,47,50
3,48,51
3,49,52
3,50,45
3,51,42
3,52,46
3,53,48
3,54,35
3,55,60
3,56,68
3,57,60
3,58,50
3,59,54
3,60,52
3,61,53
3,62,50
3,63,45
3,64,58
3,65,52
3,66,50
3,67,50
3,68,45
3,69,48
3,70,46
3,71,44
3,72,42
3,73,41
3,74,40
3,75,40
3,76,45
3,77,36
3,78,45
3,79,48
3,80,46
3,81,44
3,82,26
3,83,24
3,84,28
3,85,48
3,86,46
3,87,44
3,88,42
3,89,41
3,90,45
3,91,48
3,92,46
3,93,44
3,94,17
3,95,20
3,96,45
3,97,48
3,98,46
3,99,44
3,100,25
3,101,45
3,102,50
3,103,45
3,104,40
3,105,60
3,106,80
3,107,90
3,108,50
3,109,70
3,110,71
